,mol,chemsys,ip_gas,ip_sol,ea_gas,ea_sol,EW_gas,EW_sol
20,19,C-F-H-O,8.52880590673651,5.890831492228211,-1.536917859067533,1.0278356248701814,10.065723765804044,4.862995867358029
21,20,C-F-H-O,8.825788926424963,6.600918543005054,-1.5728075585489008,1.004205181348111,10.398596484973863,5.596713361656944
22,21,C-F-H-O,8.161646084973286,6.130918860104321,-1.4800010839358495,1.1758783046629326,9.641647168909136,4.955040555441389
23,22,C-F-H-O,8.255330227979512,5.612264824869927,-2.308976165803932,-0.4489748829017058,10.564306393783443,6.061239707771633
24,23,C-F-H-O,8.197335247669736,6.061797684973747,-2.305660613471183,-0.4546829471506987,10.50299586114092,6.516480632124446
25,24,C-H-O,8.56526493886143,6.344299351296375,-2.6167066424881624,-0.6175632746109396,11.181971581349591,6.961862625907314
26,25,C-H-O,9.00523912124462,6.680858196890899,-2.64717573264449,-0.5095074093269487,11.652414853889107,7.190365606217847
27,26,C-H-O,8.983521550258965,6.753971840414589,-2.0540931544038115,-0.0692583005179663,11.037614704662776,6.823230140932556
28,27,C-H-O,8.770400385492275,6.6639407917119176,-2.4386369533686865,-0.4560424642497336,11.20903733886096,7.119983255961651
29,28,C-H-O,7.911304182383208,5.770989436270559,-2.6200119025915063,-0.5814455564774784,10.531316084974716,6.352434992748038
30,29,C-H-O,7.596421038341395,5.396457927461178,-3.689161890155768,-2.091737463211956,11.285582928497163,7.488195390673134
31,30,C-H-O,7.811660219689717,5.258424654920692,-3.658730789637784,-1.774530215543494,11.4703910093275,7.032954870464186
32,31,C-F-H-O,7.887036644560935,5.665408501555493,-2.384869141970726,-0.5026500373060832,10.27190578653166,6.168058538861576
33,32,C-H-O,7.639615794818773,5.286663106734748,-3.6697010383412607,-1.840770132640534,11.309316833160034,7.127433239375282
34,33,C-H-O,7.991962918133819,5.679964029014306,-1.9805901036260811,-0.1946329139886968,9.9725530217599,5.874596943003002
35,34,C-H-O,7.438390209327791,5.055341807254463,-3.4924455398967744,-1.749369059066128,10.930835749224563,6.80471086632059
36,35,C-H-N,10.288031459067271,7.417292138859937,-2.734033838342013,-0.2641695772014194,13.022065297409286,7.6814617160613565
37,36,C-H-O,8.295212261140398,5.994295056993057,-2.558049888083014,-0.5287288455946437,10.853262149223411,6.523023902587701
38,37,C-H-O,7.782087388601104,5.226853218653163,-3.6405806880825353,-1.876929558549084,11.42266807668364,7.103782777202247
39,38,C-H-O-S,7.111224341967706,4.722422261140634,-1.999585649739556,-0.1612360082896888,9.110809991707262,4.883658269430323
40,39,C-H-N-O,7.356120416580104,4.873116321242623,-2.86151593367819,-0.8371640165794051,10.217636350258294,5.710280337822028
41,40,C-H-O,7.617739152331916,5.120562120207158,-3.5294939772024176,-1.72835278756456,11.147233129534332,6.848914907771718
42,41,C-H-O-S,8.073034582382885,5.839768812431519,-2.80941627149881,-1.3974218507747578,10.882450853881696,7.237190663206277
43,42,C-H-O,7.684132698445534,5.233328916061872,-3.579769193783642,-1.830662895337264,11.263901892229176,7.063991811399136
44,43,C-H-O,8.58698245595858,6.109285189637809,-2.424000084973659,-0.4603555813473395,11.01098254093224,6.569640770985149
45,44,C-Cl-H-O,8.122226070464807,6.108795392745241,-0.8503135502581964,1.5860590735743108,8.972539620723003,4.522736319170931
46,45,C-H-O,6.94081745906505,4.799422998965129,-3.4927307585489102,-1.8847249782393811,10.43354821761396,6.684147977204511
47,46,C-H-S,6.737404020724886,4.461253958549765,-3.026763796892644,-1.0879769098472816,9.76416781761753,5.549230868397046
48,47,C-F-H-O,8.196071108806597,6.063767299480901,-2.1453185865271704,-0.3220687751291351,10.341389695333769,6.385836074610036
49,48,C-H-O,7.849202333677166,5.485276998963057,-3.7616720103624703,-1.893257477719948,11.610874344039637,7.378534476683004
50,49,C-H-S,6.984670729534956,4.538217541967901,-3.275553135751576,-1.205209643523085,10.260223865286532,5.743427185490987
51,50,C-H-O,7.951361883939391,5.752938700518218,-2.343326692228549,-0.3738996269414794,10.29468857616794,6.126838327459698
52,51,C-F-H-O,8.581156138860688,6.452833535750054,-1.5544190652855248,0.9454574404148812,10.135575204146214,5.507376095335173
53,52,C-F-H-O,8.069071427978766,6.061210273575,-2.123019558546736,-0.3801499730549669,10.192090986525502,6.441360246629967
54,54,C-F-H-O,7.777943150256718,5.708179660102331,-2.3832003461130764,-0.5180144207246107,10.161143496369794,6.226194080826942
55,55,C-F-H-O,7.108601736786937,4.910167506737126,-2.25972680414324,0.7811390300517393,9.368328540930175,4.129028476685387
56,56,C-H-O,7.780039774093337,5.280134331605844,-2.937327973057232,-0.8478485886014389,10.717367747150568,6.127982920207282
57,57,C-H-O,7.504269898446191,5.077124607255026,-3.413794758551617,-1.2090908911938645,10.918064656997808,6.2862154984488905
58,58,C-H-O,7.470213912952934,5.380111471504279,-3.583759587564328,-1.8828500953382448,11.053973500517262,7.262961566842524
59,59,C-H-O-S,8.103977115025994,5.938558870468391,-2.8505930238334694,-1.43164270051763,10.954570138859465,7.370201570986021
60,60,C-H-O,8.854224277720713,6.042621809326128,-4.117571541968788,-1.8998996559583328,12.9717958196895,7.942521465284462
61,61,C-H-O,7.459415102591731,5.4724065409333935,-2.5738859896373807,-0.6400582051824634,10.033301092229111,6.112464746115857
62,62,C-H-O,7.52819975958559,5.210206725387181,-3.5060556103615115,-1.844850920207924,11.0342553699471,7.055057645595105
63,63,C-H-O-S,8.331836400000945,6.051408893269647,-1.0658051067334813,0.800060644558239,9.397641506734429,5.251348248711408
64,64,C-H-O-S,7.480834980312531,5.096262627978671,-2.6708416601043528,-1.318014159584345,10.151676640416884,6.414276787563017
